year,Delaware,Dutchess,Greene,Putnam,Schoharie,Sullivan,Ulster,Westchester
1997,0,0,0,0,0,0,113.140498,0
1998,79.339455,52.63911,114.952669,1904.332258,0,448.184119,2494.442626,0
1999,422.136287,278.462069,270.423943,1298.131489,0,141.273826,1528.43332,0.949407
2000,1109.972263,17.61123,25.968306,851.433788,0,322.299167,1580.639026,15.143574
2001,1820.017048,0,410.679083,1466.151928,636.722427,307.663491,1969.48062,312.25212
2002,5830.091844,130.328092,862.230021,189.027119,949.79407,409.619742,465.781544,70.629368
2003,2954.117513,26.010538,997.807477,975.895455,582.427074,657.805978,3104.693965,256.905086
2004,6858.776951,182.02227,313.403365,259.881283,377.576386,22.292414,1111.04868,79.27943
2005,4670.671147,229.84367,2581.245743,55.365474,65.280155,166.931364,1527.621113,67.218162
2006,5498.273873,1.595778,1011.769018,384.231789,0,499.607968,1453.612091,434.490467
2007,3620.805217,109.527029,1767.222908,85.55965,220.920724,500.004791,330.517486,599.604752
2008,4623.765743,6.613124,799.536644,53.66895,487.859371,217.509949,875.935688,25.534843
2009,3874.073368,2.97854,2362.882695,51.715036,118.205673,1180.893138,440.786635,0
2010,5905.658121,11.803646,2612.83944,61.837593,353.76879,6.111579,649.810555,19.353849
2011,6411.670151,0,3088.978587,67.792837,9.313403,289.403008,1418.468154,20.220398
2012,4798.234369,6.716086,1054.464763,429.423118,556.822279,667.671021,549.956435,0
2013,3629.119278,0,1780.606635,0,142.321781,158.477531,93.773522,0
2014,2716.422682,0,726.085532,0,43.370946,0,157.091116,95.907454
2015,2537.670337,0,1003.255519,0,145.782786,0,61.899625,0
2016,2865.801662,0,519.256827,0,138.337214,35.398084,151.474988,6.149103
2017,4747.749867,0,1220.937987,0,12.361768,0,254.098633,0
2018,1677.996214,0,788.213507,384.599787,111.185561,91.449108,0,0
2019,4871.29132,0,378.788327,3.12445,0,38.588822,558.487481,0
2020,179.383153,0,0,0,0,0,0,0